	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
"creation"	0	0	1	0	0	0
"distinct"	0	0	1	0	0	0
"dump"	0	0	1	0	0	0
"fed"	0	0	1	0	0	0
"flow"	0	0	1	0	0	0
"glacial"	0	0	1	0	0	0
"glacier"	0	0	1	0	0	0
"hold"	0	0	1	0	0	0
"impact"	0	0	1	0	0	0
"inflow"	0	0	1	0	0	0
"knit"	0	0	1	0	0	0
"neighbor"	0	0	1	0	0	0
"outlet"	0	0	1	0	0	0
"promontori"	0	0	1	0	0	0
"ribbon-lik"	0	0	1	0	0	0
"steadi"	0	0	1	0	0	0
"thick"	0	0	1	0	0	0
"buoyant"	0	0	1	0	0	0
"chaotic"	0	0	1	0	0	0
"characterist"	0	0	1	0	0	0
"combin"	0	0	1	0	0	0
"compon"	0	0	1	0	0	0
"contribut"	0	0	1	0	0	0
"flexibl"	0	0	1	0	0	0
"form"	0	0	1	0	0	0
"freshwat"	0	0	1	0	0	0
"malleabl"	0	0	1	0	0	0
"melt"	0	0	1	0	0	0
"refreez"	0	0	1	0	0	0
"seawat"	0	0	1	0	0	0
"surround"	0	0	1	0	0	0
"thinner"	0	0	1	0	0	0
"undersid"	0	0	1	0	0	0
"abl"	0	0	1	0	0	0
"across"	0	0	1	0	0	0
"amount"	0	0	1	0	0	0
"compar"	0	0	1	0	0	0
"keep"	0	0	1	0	0	0
"limit"	0	0	1	0	0	0
"percent"	0	0	1	0	0	0
"pretti"	0	0	1	0	0	0
"rift"	0	0	1	0	0	0
"total"	0	0	1	0	0	0
"yet"	0	0	1	0	0	0
"abdalati"	0	0	1	0	0	0
"civil"	0	0	1	0	0	0
"data"	0	0	1	0	0	0
"director"	0	0	1	0	0	0
"engin"	0	0	1	0	0	0
"former"	0	0	1	0	0	0
"harihar"	0	0	1	0	0	0
"involv"	0	0	1	0	0	0
"konrad"	0	0	1	0	0	0
"project"	0	0	1	0	0	0
"rajaram"	0	0	1	0	0	0
"scambo"	0	0	1	0	0	0
"steffen"	0	0	1	0	0	0
"ted"	0	0	1	0	0	0
"wale"	0	0	1	0	0	0
"administr"	0	0	1	0	0	0
"atmospher"	0	0	1	0	0	0
"joint"	0	0	1	0	0	0
"ocean"	0	0	1	0	0	0
